Prompt Cards,Set
"During delivery, I would like to think about ______.",Babies vs. Parents
"During foreplay, I close my eyes and visualize ______.",Cakes Athirst Hilarity Volume 2
During high school I never really fit in until I found ______ club.,CAH: Red Box Expansion
During high school I never really fit in until I found ______ club.,CAH: Third Expansion
"During his childhood, Salvador Dali produced hundreds of paintings of ______.",CAH Base Set
"During his midlife crisis, my dad got really into ______.",CAH : Second Expansion
"During his midlife crisis, my dad got really into ______.",CAH Base Set
"During his midlife crisis, my dad got really into ______.",CAH: Red Box Expansion
"During his short-lived boxing career, the Messiah fought under the name Jesus ""______"" Christ.","Crows Adopt Vulgarity, Vol. 1"
"During lengthy sessions of ""hurry up and wait,"" I enjoy ______ to help pass the time.",Disgruntled Decks: Air Force Edition
"During my first game of D&D, I accidentally summoned ______.",PAX Prime 2014 - Panel Cards
"During my job interview, I was asked my strengths, so I told them about my talent for ______.",Cads Against Adulting
During my last dominatrix relationship we always used ______ as our safe word.,Cakes Athirst Hilarity Volume 3
"During my last physical, my doctor told me to never again ______.",Potheads Against Sanity
"During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of ______.",CAH Base Set
"During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of ___.",Hilarious!
"During Picassos often-overlooked Brown Period, he produced hundreds of paintings of ___.",Cards Against/For South Africa
"During sex ""Insert Name"" likes to imagine he/she is ______.",Personally Incorrect - Expansion [Red Box]
During sex I usually like to add a little ____.,Dirty Nasty Filthy
"During sex, I like to ____.",Dirty Nasty Filthy
"During sex, i like to fantasise about ___.",Hilarious!
"During sex, I like to think about ______.",CAH Base Set
"During sex, I like to think about ___.",Cards Against/For South Africa
"During the 'sex talk' ""Insert Name's"" mother never warned him/her about ______.",Personally Incorrect - Expansion 2 [Yellow Box]
"During the 1914 Christmas Truce, soldiers of both sides come together to enjoy _________.",Humanity Hates The Holidays
"During the Battle of the Chosin Reservoir, Colonel Chesty Puller annihilated countless Chinese soldiers using ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
"During the date, I found out that he really likes ______ and ______ at the same time.  I'm NOT okay with that.",Carbs of the Huge Manatee - Online Dating Expansion 1
"during the exorcism, Mary's head did a 360 spin before screaming ______",That's What She Said Game - Second Expansion
During the family vacation I found a ______ washed up on the beach.,Kids Against Maturity
"During the first aid training ""Insert Name"" learned to use ______ to save lives.",Personally Incorrect - Expansion 2 [Yellow Box]
"During the full moon, I get the instiable urge for ______.",Evil Apples
during the interview I couldn't stop thinking _______,That's What She Said Game - Second Expansion
"During the lunch meeting, we were shocked to hear the boss reveal her obsession with ______.",Crabs Adjust Humidity: Volume 4
During the next debate I'm going to keep focus on _________.,"Bad Campaign, The Presidential Party Game!"
"During the sexual discrimination tribunal, I couldn't help noticing the female prosecutor's impressive _____.","Guards Against Insanity, Edition 1"
"During work, my mind usually wanders to ______.",Cards Against Profanity
Duuuuuuude. You have got to go to space. ______ is awesome in space.,Absurd Box Expansion
Each freckle is a soul that a ginger has _______________.,Carbs of the Huge Manatee: General Expansion 3
"Earth! Fire! Wind! Water! ______! By your powers combined, I am Captain ______!",Cards and Punishment Vol. One
"Eat the rich, but spare ______.",Conspiracy Theory
"Eat your ______, child.",Cakes Athirst Hilarity Volume 4
"Eat, sleep, ______, repeat.",Clones Attack Hilarity #1
Eat. Sleep. ______. Repeat.,Cards and Punishment Vol. Two
Eating ______ makes me stronger.,Kids Create Absurdity
Ebola was eradicated by injecting ______ with ______.,JadedAid: A Card Game to Save Humanitarians
"Eenie, meenie, miney, ______.",Kids Against Maturity
"Eenie, meenie, miney, mo. Catch a tiger by ______.",Kids Create Absurdity
EEWWWW! There is ______ in my shoes.,Kids Against Maturity
Elect me school president and I will get rid of ______ forever!,Not Parent Approved Expansion Pack #1
"Embrace the suck, boot! Pain is just ______ leaving your body.",Disgruntled Decks: Marine Corps/Jarhead Edition
Ensign + ______ = an embarrassing international incident.,Disgruntled Decks: Coast Guard/Coastie Edition
"entering Neverland Ranch, Michael Jackson whipered ______",That's What She Said Game
Entertaining attendees with a story about ____ during the funeral service.,Depravity
Ernest Rutherford is famous for splitting open ______.,Kiwis Versus Morality
Errbody in the club ______.,CAH: Green Box Expansion
ESPN is now broadcasting the new sport: Major League _____.,Clones Attack Hilarity #2
Even a Catholic cartoonist wouldn't dare to make light of ______.,The Catholic Card Game: Five Deck Expansion Pack
"Even if you've only met me one time, you would associate me with ______.",Rotten Apples: The Tasteless Adult Party Game
Even St. Jude can't help ______.,The Catholic Card Game: Life Teen Expansion Pack
"Even though I was born as a female, tumblr has opened my eyes. I now identify as ____.",Cards With No Sexuality
"Eventually, every little boy suffers the torment of finding his mother's hidden stash of ______.",Voter's Choice: The Fourth Expansion
"Ever heard of the secret menu? Try going to McDonald's and ordering ""______"". It works, I swear!",Evil Apples
"Ever since _________, my life has gotten so much busier.",Humanity Hates Trump: Base Set
"Ever since ""the incident,"" every time I close my eyes, I still see ______.",Crabs Adjust Humidity: Volume 1
"Ever since General Mattis knife handed me, I can't fall alseep without having nightmares about ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
"Ever since the explosion, every time I hear a loud noise I think of _______.",Disgruntled Decks: Marine Corps/Jarhead Edition
Every Catholic girl's dream.,The Catholic Card Game: Base Deck
"Every Christmas, my uncle gets drunk and tells the story about ______.",2012 Holiday Pack
Every kiss begins with _______.,"Humanity Hates the Holidays ""Love"" Edition"
Every Kiwi knows what comes next: Tutira mai nga iwi ______,Kiwis Versus Morality
Every night I say a little prayer for ______ on Earth.,The Game Without Decency
every now and then I secretly wish my husband would say ______,That's What She Said Game - First Expansion
"Every so often I get to spend a night in, complete with a hot bath, a glass of wine, and ______.",Evil Apples
Every step towards ______ gets me a little bit closer to ______.,CAH: Blue Box Expansion
Every step towards ______ gets me a little bit closer to ______.,CAH: Fourth Expansion
"Every Sunday ""Insert Name"" goes to market to sell ______, and every time comes home with Magic Beans.",Personally Incorrect - Expansion [Red Box]
"Every Sunday, a couple of Jehovah's Witnesses bang on my door to ask if I want to talk about ______. I say yes every single time. Who wouldn't?",Cats Abiding Horribly: Episode II - A New Low
"Every time a bell rings, an angel gets ______.",Words Against Morality: Volume 1
every time I look at a cucumber I think ______,That's What She Said Game - First Expansion
"Every time I sneeze, ______ comes out of my nose.",Kids Create Absurdity
Every wedding toast should include at least one mention of ___________.,Cads About Matrimony
Every wedding toast should include at least one mention of ___________.,Cads About Matrimony Poly Pack
Every woman knows what it's like to be called _____ while walking down the street.,Dick
"Every young boy dreams about ______, but only a few will get to experience the glory.",Evil Apples
Everybody join hands and close your eyes. Do you sense that? That's the presence of ______ in this room.,CAH: Blue Box Expansion
Everybody join hands and close your eyes. Do you sense that? That's the presence of ______ in this room.,CAH: Sixth Expansion
"Everyday has 86,400 seconds. And I'm always a second away from ______.",Cards for the Masses
Everyday I dress up like ________.,Skewered And Roasted
Everynight before bed I always ______.,WTF Did You Say?!?
"Everyone agrees, my absolute best quality is ________.",Skewered And Roasted
everyone at the wedding gasped when the best man said to the bride ______,That's What She Said Game
Everyone down on the ground! We don't want to hurt anyone. We're just here for ______.,CAH : Second Expansion
Everyone gets a Combat Action Badge! Just be within 50 meters of ______ and you qualify.,Disgruntled Decks: Army Edition
"Everyone has skeletons in their closet and I hope no one ever finds out ""Insert Name"" likes to swallow ______.",Personally Incorrect
Everyone I know is talking about ______ but I'm pretty sure it's bullshit.,WTF Did You Say?!?
Everyone is staring at you because you're ___.,Weed Pack
Everyone knows that I'm trustworthy because I have ________.,Skewered And Roasted
Everyone loved the erotic cake until it was revealed it was modeled on ______.,The Game Without Decency
"Everyone thinks I'm all about _____, and for the most part they're right.",Rotten Apples: The Tasteless Adult Party Game
"Everyone wonders if ""Insert Name's"" mom was ever involved with ______ when she was in her prime.",Personally Incorrect - Expansion 2 [Yellow Box]
Everyone’s favorite new third-party CAH expansion: _____ Against _____.,Cards With No Sexuality
Everything is awesome! Everything is cool when you're part of ______!,Cards and Punishment Vol. One
Everything is negotiable except _________.,Humanity Hates Trump: Base Set
Everything's a complete mess but I'm still ______ so I guess it's okay.,Cads Against Adulting
Ew. Taste this. Doesn't it taste like ______?,"Crows Adopt Vulgarity, Vol. 3"
Eww! Gross! ______!,Rotten Apples: The Tasteless Adult Party Game
Ewwwww the chow tastes funny again! I bet a CS slipped ______ into it!,Disgruntled Decks: Navy Edition
Excitedly replying to spam emails which offers ____ for free.,Depravity
"Excuse me, straight man, but ______ isn't for you, STRAIGHT MAN.",Pride Pack
"Excuse me, waiter. Could take this back? This soup tastes like ______.",PAX Prime 2015 Food Pack C (Cherry)
"Excuse me, waiter. Could you take this back? This soup tastes like ______.",Food Pack
Experiencing ______ for ten minutes really changed my perspective on everything.,Carps & Angsty Manatee - Volume 2
Experts agree: The global financial crisis was caused by ______.,Words Against Morality: Volume 3
Experts have warned us that the _________ pandemic is inevitable.,"Bad Campaign, The Presidential Party Game!"
"Experts say that without careful management and conservation, ______ will disappear within our lifetimes.",Crabs Adjust Humidity: Volume 2
Exposure to ______ scarred me for life.,Words Against Morality: Volume 2
"Face it, ladies. I'm older and I have ______.",Carps & Angsty Manatee - Volume 1
"Face it, you were born to be a fat body. Hell, I bet you could get fat off of ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
FACT: ______ causes ______.,"Guards Against Insanity, Edition 5"
Failed startup GoTrump.com was supposed to help people get better deals on ______.,Trumped UpCards: The World's Biggest Deck*
Fair Go is finally investigating ______'s relationship with _______,Kiwis Versus Morality
"Fans were shocked when it was announced that in the next movie, besides being Batman, Bruce Wayne is also ______.",Cats Abiding Horribly: Episode II - A New Low
Fantasising about ____ to help you get through another pointless work meeting.,Depravity
Fast food restaurants have decided to add ______ to make kids meals healthier for kids.,Kids Against Maturity
FBI just released a list of the biggest national security threats: 1. ISIS 2. Mexican drug cartels. 3. ______.,Cats Abiding Horribly: Episode II - A New Low
Fear is the path to the dark side.  Fear leads to anger.  Anger leads to hate.  Hate leads to ______.,"Guards Against Insanity, Edition 3"
Fear is the path to the dark side. Fear leads to anger; anger leads to hate; hate leads to ______.,Bards Dispense Profanity
Fear leads to anger. Anger leads to hate. Hate leads to ______.,Cats Abiding Horribly Bonus Cards
Fear leads to anger. Anger leads to hate. Hate leads to ______.,Sci-Fi Pack
Feeling nostalgic when you remember ____ from your childhood.,Depravity
Feeling so grateful! #amazing #mylife #______.,CAH: Green Box Expansion
Fifth base will henceforth be considered ______.,Cards and Punishment Vol. One
Finally opening Stan Walkers 'little black box' just to find ______.,Kiwis Versus Morality
Finally! A service that delivers ______ right to your door.,CAH Base Set
Finally! A service that delivers ______ right to your door.,CAH: Red Box Expansion
Finally! A service that delivers ______ right to your door.,CAH: Third Expansion
"Find a ______ and pick it up, and all the day you'll have good luck.",Kids Against Maturity
"Find a guy who ruins your ______, not your mascara.",Cards for the Masses
Finding ______ in your bed the next morning.,"Crows Adopt Vulgarity, Vol. 1"
Finding ______ in your butt crack after a day at the beach.,Kiwis Versus Morality
"Firers, assume a good kneeling position and commence _______.",Disgruntled Decks: Army Edition
"First comes love, then comes marriage, then comes ____________.",Cads About Matrimony
"First comes love, then comes marriage, then comes ____________.",Cads About Matrimony Poly Pack
"First comes love, then comes marriage, then comes ______.",KinderPerfect (Commercial Set)
"First there was a war on drugs, then a war on terrorism, what we really need is a war on _________.",Charlie Foxtrot
"Five,
four,
three,
two,
one….
______!",Absurd Box Expansion
Flashing web pages force you to love ______.,Conspiracy Theory
"Float like a butterfly, sting like ______.",The Worst Card Game: 2016 National Edition
Florida man tragically dies when ______.,WTF Did You Say?!?
Fluoridation was the first step. Next in our water: ______.,Conspiracy Theory
Folks over at Build-A-Bear are rolling out a new kind of bear that will be stuffed with ______.,Evil Apples
Follow the ______ brick road.,Kids Create Absurdity
Follow the Air Force Band on Twitter @______.,Disgruntled Decks: Air Force Edition
Food service specialists are always pissed off. ______ doesn't even make them happy.,Disgruntled Decks: Coast Guard/Coastie Edition
"Fool me once ____ me, fool me twice ____ you.",Dirty Nasty Filthy
"For ""Insert Name's"" magic trick next he/she will pull ______ out of a hat.",Personally Incorrect - Expansion [Red Box]
"For ""Insert Name's"" next magic trick, he/she will pull a ______ out of a hat.",Personally Incorrect
"For 50% of the people involved, ______ is hilarious.",Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
"For a Thanksgiving meal your family will be talking about all year, try stuffing the turkey with _________.",Humanity Hates The Holidays
"For a unique baby shower activity, try ______.",Cads About Maternity - A game for bad mommies
"For every $1 that men receive, women receive ______.",Bards Dispense Profanity
"For every magazine subscription I sell, I've been promised ______ by ______.",The Game Without Decency
For Halloween I dressed as ______.,Kids Against Maturity
"For her birthday, I surprised my girlfriend with ______. We haven't spoken since.",Evil Apples
"For hunting in the King's forest, I hereby sentence you to death by ______.",Absurd Box Expansion
"For its latest cheesy ad campaign, Recruiting Command has created GruntMan, a superhero with the powers of ______ and _______.",Disgruntled Decks: Marine Corps/Jarhead Edition
"For me, ______ is a dealbreaker.",Evil Apples
"for my best friend's bachelorette party, we all wore shirts that said ______",That's What She Said Game - Second Expansion
For my birthday ______ jumped out of my cake.,Kids Against Maturity
"For my birthday, my mom gave me a year's supply of _______.",The Game Without Decency
"For my Craigslist ad, I wrote that you must be ok with ________.",Skewered And Roasted
"For my last romantic date night, I scored big points by suggesting we first ______.",Potheads Against Sanity
For my next trick I will pull ___ out of ___.,Cards Against/For South Africa
"For my next trick, I will insert ____ into your ____. Amazing!",Dirty Nasty Filthy
"For my next trick, I will pull ___ out of ___.",Hilarious!
"For my next trick, I will pull ______ out of ______.",CAH Base Set
"For my turn, I will spend four gold and allocate all three workers to ______.",TableTop Pack
For only $19.99 plus shipping and handling you can get ______ delivered right to your door.,Cards for the Masses
"For only 1 dollar a day, you can provide a child in Nigeria with ______.",Cakes Athirst Hilarity Volume 4
"For our anniversary, we went to a lovely little bed and breakfast, where they're known for their wine cellar and their ______.",Carbs of the Huge Manatee - Online Dating Expansion 1
"For such a ""know-it-all"" tween, they were not ready for ______.",KinderPerfect: Tween Expansion Pack
"For the crime of treason, I sentence you to a slow and torturous death by ________.",Cats Abiding Horribly: Episode III - The SJWs Strike Back
"For the price, you’d think a self-driving car could also include ______.",The Worst Card Game: 2016 National Edition
"For the Science Fair, I made _________.",Not Parent Approved
"For your crimes against the people, I hereby sentence you to ______.",Words Against Morality: Volume 2
Foreign Policy? You mean _________.,Humanity Hates Trump: Base Set
Forget chocolate and peanut butter… try ______ and peanut butter instead!,The Game Without Decency
"Forget everything you know about ______, because now we've supercharged it with ______!",CAH: Blue Box Expansion
"Forget everything you know about ______, because now we've supercharged it with ______!",CAH: Fourth Expansion
"Forget Fifty Shades of Grey...

Give me Fifty Shades of ______!",Crabs Adjust Humidity: Volume 5
Forget Fifty Shades of Grey… Give me Fifty Shades of _____.,Crazy & Horrible Rabbit - Vol. 1
"Forget the chicken and the egg, which came first-- ______ or ______.",The Game Without Decency
Forgive me Father for I have sinned. It's been one week since my last ________.,Cows Grilling Hamburgers - Patty Pack #1
Forgive me Father I have ______.,Cakes Athirst Hilarity Volume 3
"Fort Hood is known as ""The Great Place"" because it provides Soldiers with an endless supply of ______.",Disgruntled Decks: Army Edition
Fortune cookie says: Nothing is impossible if you have _____ in bed.,Clones Attack Hilarity #2
Fossil evidence shows that ______ existed before humanity.,Conspiracy Theory
Four out of five dentists can't be wrong! You should try ______.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep
"Four score and seven years ago, Americans wanted to ______.",Potheads Against Sanity
"Fourscore and seven years ago, our fathers brought forth on this continent ______.",Dick
Free trade is terrible. Free trade can be wonderful if you have smart people in office. But we have _________., 2016 Election Game 
Freedom. Eagles. _________. AMERICA!,Humanity Hates Trump: Base Set
Friday's linerty safety brief warns Marines to avoid ______.,Disgruntled Decks: Marine Corps/Jarhead Edition
Friday's safety brief identified ______ as the greatest threat to Soldiers.,Disgruntled Decks: Army Edition
Fridays this fall: CSI: ______.,Crabs Adjust Humidity: Volume 7
Friendly fire or ______; I don’t know what's worse.,Disgruntled Decks: Army Edition
Friends don't let friends try ______.,Words Against Morality: Volume 2
Friendship is all about _______ together,Pigs Against Profanity: Volume 2
Frito-Lay® just announced that the flavor of the mystery Doritos® was actually ______.,Cards With No Sexuality
"Frog legs don't taste like chicken, the taste like ______.",Kids Create Absurdity
"From now on for visiting dignitaries, it's Big Macs, not lavish state dinners, with a side order of ______.",Trumped UpCards: The World's Biggest Deck*
"From the desire of destroying ______, deliver me, Jesus.",The Catholic Card Game: Five Deck Expansion Pack
"From the people who brought you Sharktopus and Sharknado, Syfy's® next horror film combines sharks with ______.",Crabs Adjust Humidity: Volume 2
"From the producers of Shark Week...

Coming this fall, ______ Week.",Crabs Adjust Humidity: Volume 4
"From WBEZ Chicago, it's This American Life. Today on our program, ______. Stay with us.",Reject Pack
"Fuck I love _______________, though.",Carbs of the Huge Manatee: General Expansion 2
Fuck this. I'm going to create my own United States of ______.,Cards and Punishment Vol. One
"Fuck, marry, kill.",Cards and Punishment Vol. One
Fuddruckers® is secretly testing a burger made with ______.,Crabs Adjust Humidity: Volume 4
"Fun tip! When your man asks you to go down on him, try surprising him with ______ instead.",CAH Base Set
Future historians will agree that ______ marked the beginning of America's decline.,CAH Base Set
Future historians will agree that ______ marked the beginning of America's decline.,CAH: First Expansion
Future Historians will agree that ______ marked the beginning of America's decline.,CAH: Red Box Expansion
"FW: re:
FBI WARNING!!! VIOLENT GANGS USING ______ TO RECRUIT CHILDREN!",Dad Pack
Gapping it faster than Mark Lundy driving away from ______.,Kiwis Versus Morality
"Gapping it faster than Mark Lundy, driving away from ______.",Kiwis Against Morality
"Gary is at the door, trying to sell us _______.",The Game Without Decency
"Gather 'round, shipmates! It's time for a sea story about ______ and ______.",Disgruntled Decks: Coast Guard/Coastie Edition
"Gee whiz, I can't wait to get my Surface Warfare qual so I can finally be ready for ______!",Disgruntled Decks: Navy Edition
Gender integration for all combat jobs has caused promotions to be mostly based on ______.,Disgruntled Decks: Marine Corps/Jarhead Edition
General Mattis' iTunes™ playlist is a disturbing collection of songs about ______ and ______.,Disgruntled Decks: Marine Corps/Jarhead Edition
"General, it appears that instead of brains, these zombies want ______.",Crabs Adjust Humidity: Volume 7
"Generally, most things can be solved by ____",Pigs Against Profanity: Volume 1
Genius is 1% inspiration and 99% _____.,"Guards Against Insanity, Edition 1"
Genius is one percent inspiration and ninety-nine percent ______.,Not Parent Approved Expansion Pack #1
"Gentleman, I'm sure you're wondering why I asked you here this evening.

It's a long story, but it all began with ______.",Crabs Adjust Humidity: Volume 1
"Gentlemen prefer blondes, but they marry ______.",Cats Abiding Horribly: Episode III - The SJWs Strike Back
George Bush regrets not focusing on _________ more.,"Bad Campaign, The Presidential Party Game!"
George Bush's new painting will be a revealing look at _________.,"Bad Campaign, The Presidential Party Game!"
George RR Martin says that ______ is preventing him from finishing his epic fantasy saga.,Crabs Adjust Humidity: Volume 6
"George, George, George of the jungle, watch out for ______!",Cakes Athirst Hilarity Volume 2
Gerry Brownlee was caught snacking on ______.,Kiwis Versus Morality
"Get busy ______, or get busy dying.",Cards and Punishment Vol. Two
"Get out now, Satan! The power of ______ compels you!",Cats Abiding Horribly: Episode III - The SJWs Strike Back
Get ready for the movie of the summer! One cop plays by the book. The other's only interested in one thing: ______.,CAH: Blue Box Expansion
Get ready for the movie of the summer! One cop plays by the book. The other's only interested in one thing: ______.,CAH: Fifth Expansion
Get rich or die ______.,Cats Abiding Horribly: Episode III - The SJWs Strike Back
Getting another detention for ____ at the back of the class.,Depravity
Getting drunk on Valentine's Day usually leads to ______.,"Humanity Hates the Holidays ""Love"" Edition"
Getting street cred the only way know how; ______.,Clones Attack Hilarity #2
Girls just wanna have ______.,CAH: Green Box Expansion
Girls just wanna have ______.,Cats Abiding Horribly: Episode I - The Dirty Goblin
Girls just want to ______.,Potheads Against Sanity
Give ______ a chance! He'll grow on you!,"Crows Adopt Vulgarity, Vol. 4"
"Give a man a fish and you feed him for a day, give a man _____ and he`ll eat forever.",Pigs Against Profanity: Volume 3
Give it 20 years and the Corps will be nothing but _______.,Disgruntled Decks: Marine Corps/Jarhead Edition
Give me liberty or give me ______.,Cats Abiding Horribly Bonus Cards 2
"Give me liberty, or give me ______.",Bards Dispense Profanity
Give me ten good men and 48 hours. I'll get you ______.,Absurd Box Expansion
"Given enough time, grunts will turn any situation into ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
Giving your best friend ____ to show you're secretly in love with them.,Depravity
Giving your elderly neighbour assistance in ____.,Depravity
Global warming could lead to ______ across much of North America.,Dick
"Global warming? In Trump's opinion, it's just a concept by _____ to ""make U.S. manufacturing non-competitive.""",Trumped UpCards: The World's Biggest Deck*
Go ______ in a bucket and smell it.,Kids Create Absurdity
Go go gadget ______.,Babies vs. Parents
Go-go gadget ______!,Cards for the Masses
Go-Go-Gadget ______!,Crabs Adjust Humidity: Volume 4
God created ______ as a means of population control.,WTF Did You Say?!?
"God created Adam and Eve, not Adam and ______.","Crows Adopt Vulgarity, Vol. 4"
God defend ______.,Kiwis Versus Morality
GOD HATES ______!,Pride Pack
God helps those who help ______.,Bards Dispense Profanity
"Goldfinger!
He's the man,
the man with _______.",Absurd Box Expansion
Goldilocks got the three bears high and then wanted to ______.,Potheads Against Sanity
"Gone are the days of the rock star. Now it's all about sex, drugs, and ______.",Cards and Punishment Vol. One
"Good morning, people! You're ______ is awake… let the fun begin!",Cards for the Masses
"Good morning, shipmate! Grab a quick breakfast and meet me in the berthing for a hardcore session of ______!",Disgruntled Decks: Navy Edition
"Good news, everyone! I'm giving a TED Talk on the subject of how ______ will transform ______.",Crabs Adjust Humidity: Volume 3
"Good night, good night! ______ is such sweet sorrow.",Bards Dispense Profanity
Good sex = ________ + ________.,Skewered And Roasted
Good thing our Church doesn't do ______.,The Catholic Card Game: Life Teen Expansion Pack
"Goodbye, ______, hello _____!",Absurd Box Expansion
Google Calendar alert: ______ in 10 minutes.,CAH: Green Box Expansion
"Google recently changed its corporate slogan from ""Don't be Evil"" to ______.",Cats Abiding Horribly: Episode I - The Dirty Goblin
"Google recently changed its corporate slogan from ""Don't Be Evil"" to ______.",Cats Abiding Horribly: Episode I - The Dirty Goblin
Got any ______? I'll trade you for it.,Kids Create Absurdity
"Got me lookin' so crazy right now, ______'s got me lookin' crazy right now.",Dick
"Government of, by, and for __________.","Bad Campaign, The Presidential Party Game!"
Graduation should put an end to ______.,KinderPerfect: Tween Expansion Pack
Grandma always gives us ______ when we visit.,Cards Against Profanity
Grandma believes that _________ is the source of all goodness.,Not Parent Approved
Grandma got run over by a ______.,Kids Against Maturity
Grandma recommends ______ to help with ______.,Fun in the Oven
"Grandma told me ""child, everyone on this earth was born with a skill, and yours is ______. …So don't you never do it for free.""",Crabs Adjust Humidity: Volume 6
Grandma would never admit she likes ______.,Not Parent Approved Expansion Pack #2
Grandma's homemade ______s are the best of all.,The Game Without Decency
Grandmother's house always smells like ______.,Evil Apples
"Grandpa says ""When I was your age we would ______ for fun"".",Kids Against Maturity
Grandpa's secret to maintaining an erection was _______.,Evil Apples
Great things always come from _________.,Pigs Against Profanity: Volume 3
Great. Millennials have now ruined the ______ industry.,Cads Against Adulting
Green eggs and ______.,Kids Against Maturity
"GREETINGS HUMANS
I AM ______ BOT
EXECUTING PROGRAM.",2013 Holiday Pack
"Greetings, POGs! I am the Chesty 2000, a cybernetic body slayer from the future to save the Corps from ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
"Growing up happens in a heartbeat.  One day, you're ______; next day, you're ______.","Guards Against Insanity, Edition 2"
Growing up I didn't have many friends. Kids always teased me about my fascination with ______.,Cats Abiding Horribly: Episode I - The Dirty Goblin
Growing up I didn't have many friends. Kids always teased me for my fascination with ______.,Cats Abiding Horribly: Episode I - The Dirty Goblin
"Growing up, Mama always told me life is like a box of ______.",Cakes Athirst Hilarity Volume 3
GSMA is now promoting smartphones for ______.,JadedAid: A Card Game to Save Humanitarians
Gundecking checklists ALWAYS leads to ______.,Disgruntled Decks: Navy Edition
"Gunny keeps saying he's got a meeting at Regiment, but what he's really doing is ______.",Disgruntled Decks: Marine Corps/Jarhead Edition
Gunny on Gunny violence: a serious scourge plaguing our Corps. How do we stop it?,Disgruntled Decks: Marine Corps/Jarhead Edition
Gunny told me if I don't cut back on ______ then I'm for sure getting ninja punched.,Disgruntled Decks: Marine Corps/Jarhead Edition
"Gunny, why are you crying?",Disgruntled Decks: Marine Corps/Jarhead Edition
"Guns don't kill people, ______ kill people.","Guards Against Insanity, Edition 2"
Guys? I know I agreed to go along but now I think we have to stop ___.,Hilarious!
Half of all ______ are below average.,Conspiracy Theory
Hallelujah it's raining ______.,Cats Abiding Horribly: Episode I - The Dirty Goblin
"Hallelujah, it's raining ______.",Cats Abiding Horribly: Episode I - The Dirty Goblin
"Hang tough, Puerto Rico! A cargo ship filled with ______ is on the way.",Trumped UpCards: Many Sides  Expansion Pack
Happy Birthday to ______.,Kids Against Maturity
Hark! The herald angels _______!,Potheads Against Sanity
Harry Potter™ and the Goblet of ______.,Kids Against Maturity
"Haters love hating, but lovers love ______.",Not Parent Approved Expansion Pack #2
"Have kids they said, it'll be fun they said. Instead, we got ______.",KinderPerfect (Commercial Set)
Have you ever experimented with soft bondage by using a ____ and ____?,Dirty Nasty Filthy
"Have you tried a Denver omelette, but with ______ instead of ham? It's the only way I'll order mine now.",The Worst Card Game: Colorado Edition
"Have yourself a merry little Christmas /

let your heart be light / 

from now on ______ will be out of sight.",Dick
Having a kid makes me want to _______.,Babies vs. Parents
"Having abandoned his pleas for a return to the gold standard, Ron Paul is now promoting a ______-based economy.",Crabs Adjust Humidity: Volume 2
Having kids is like ______.,Cards for the Masses
Having problems with ______? Try ______!,CAH Base Set
Having problems with ______? Try ______!,CAH: Red Box Expansion
Having problems with ______? Try ______!,CAH: Third Expansion
Having sex with Hillary is like having sex with _________.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too"
Having the worst day EVER. #______,CAH: Blue Box Expansion
Having the worst day EVER. #______,CAH: Fifth Expansion
"Having tired of poetry and music, the immortal elves now fill their days with ______.",Fantasy Pack
"Haze yourself! is an appropriate response to the question ""Hey Petty Officer, wanna see ______?""",Disgruntled Decks: Navy Edition
"Hazing is illegal, but it's still acceptable to give your new check-ins ______ and tell them to have fun.",Disgruntled Decks: Navy Edition
"He alone, who owns the _________(s), gains the _________(s).",Humanity Hates Trump: Expansion Pack 1
"He didn't want sex, he wanted ______ with ______.  I can work with that.",Carbs of the Huge Manatee - Kink Expansion 1
He got harder than a rock afeter he saw _______.,"Humanity Hates the Holidays ""Love"" Edition"
"He is, The Most Air Force Man in the World. ""I'm not always ______, but when I do, I prefer ______. Stay motivated, my friends.""",Disgruntled Decks: Air Force Edition
"He kept yelling ""_____""!  I didn't know it was his safe word!","Clams Attempt Harmonica, Volume 1"
He reeked of ______ when he was pulled over.,Cards for the Masses
He who controls ______ controls the world.,CAH: First Expansion
He who controls ______ controls the world.,Cards for the Masses
"He who controls ___, controls the world.",Cards Against/For South Africa
"He who controls ___, controls the world.",Hilarious!
He's _______________. She's _______________. Together they fight crime!,Carbs of the Huge Manatee: General Expansion 3
He's absolutely magnificent! I bet his poop smells like ______.,"Crows Adopt Vulgarity, Vol. 2"
"Headlining at Canalside this summer, my favorite band: ______.",Blurbs Against Buffalo
"Hear my words, ______ will rise again!",Crabs Adjust Humidity: Volume 7
"Heed my voice, mortals! I am the god of ______ , and I will not tolerate ______!",CAH: Blue Box Expansion
"Heed my voice, mortals! I am the god of ______ , and I will not tolerate ______!",CAH: Fifth Expansion
Hell hath no fury like ______.,"Guards Against Insanity, Edition 3"
"Hello IT, have you tried _____?","Clams Attempt Harmonica, Volume 1"
